Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p4""","=""3P""","=""2""","="" 0.0000000""","=""""","=""                                            ""","=""L7237"""
"=""3s2.3p4""","=""3P""","=""1""","="" 0.0491046""","=""""","=""                                            ""","="""""
"=""3s2.3p4""","=""3P""","=""0""","="" 0.0711223""","=""""","=""                                            ""","="""""
"=""3s2.3p4""","=""1D""","=""2""","="" 1.1454415""","=""""","=""                                            ""","="""""
"=""3s2.3p4""","=""1S""","=""0""","="" 2.7499638""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""","="" 6.5244998""","=""""","="" 100                                        ""","="""""
"=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","="" 6.8601463""","=""""","="" 100                                        ""","="""""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","="" 7.8663095""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","="" 7.8676829""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","="" 7.8699033""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","="" 8.0452062""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","="" 8.0455065""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","="" 8.0456548""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""1""","="" 8.4081559""","=""""","=""  96         :     3  3s2.3p3.(4S*).3d 3D*  ""","="""""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""2""","="" 8.4092516""","=""""","=""  96         :     3  3s2.3p3.(4S*).3d 3D*  ""","="""""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""3""","="" 8.4114435""","=""""","=""  96         :     3  3s2.3p3.(4S*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""4""","="" 8.4157542""","=""""","=""  97         :     1  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""0""","="" 8.4165629""","=""""","=""  97         :     1  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""1""","="" 8.4167336""","=""""","=""  97         :     1  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""2""","="" 8.4170151""","=""""","=""  97         :     1  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""3""","="" 8.4172892""","=""""","=""  97         :     1  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""","="" 8.5844038""","=""""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""","="" 8.6993079""","=""""","=""  95         :     3  3s2.3p3.(2D*).4s 3D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""","="" 8.6994994""","=""""","=""  95         :     3  3s2.3p3.(2D*).4s 3D*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""3""","="" 8.7004632""","=""""","=""  96         :     3  3s2.3p3.(2D*).4s 3D*  ""","="""""
"=""3s2.3p3.(4S*).5s""","=""5S*""","=""2""","="" 8.7660287""","=""""","="" 100                                        ""","="""""
"=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""","="" 8.8464460""","=""""","=""  99                                        ""","="""""
"=""3s.3p5""","=""3P*""","=""2""","="" 8.9297753""","=""""","=""  58         :    15  3s2.3p3.(2D*).3d 3P*  ""","="""""
"=""3s.3p5""","=""3P*""","=""1""","="" 8.9742649""","=""""","=""  57         :    15  3s2.3p3.(2D*).3d 3P*  ""","="""""
"=""3s.3p5""","=""3P*""","=""0""","="" 8.9977354""","=""""","=""  57         :    15  3s2.3p3.(2D*).3d 3P*  ""","="""""
"=""3s2.3p3.(4S*).5p""","=""5P""","=""1""","="" 9.1638282""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5p""","=""5P""","=""2""","="" 9.1642831""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5p""","=""5P""","=""3""","="" 9.1650311""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5p""","=""3P""","=""2""","="" 9.2081263""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5p""","=""3P""","=""1""","="" 9.2082568""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5p""","=""3P""","=""0""","="" 9.2085111""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""4""","="" 9.295485""","=""""","=""  95         :     2  3s2.3p3.(4S*).3d 5D*  ""","="""""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""3""","="" 9.295604""","=""""","=""  95         :     2  3s2.3p3.(4S*).3d 5D*  ""","="""""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""2""","="" 9.295739""","=""""","=""  95         :     2  3s2.3p3.(4S*).3d 5D*  ""","="""""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""1""","="" 9.295847""","=""""","=""  95         :     2  3s2.3p3.(4S*).3d 5D*  ""","="""""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""0""","="" 9.295915""","=""""","=""  95         :     2  3s2.3p3.(4S*).3d 5D*  ""","="""""
"=""3s2.3p3.(4S*).4d""","=""3D*""","=""1""","="" 9.416842""","=""""","=""  98                                        ""","="""""
"=""3s2.3p3.(4S*).4d""","=""3D*""","=""2""","="" 9.416891""","=""""","=""  98                                        ""","="""""
"=""3s2.3p3.(4S*).4d""","=""3D*""","=""3""","="" 9.417409""","=""""","=""  98                                        ""","="""""
"=""3s2.3p3.(4S*).6s""","=""5S*""","=""2""","="" 9.480335""","=""""","="" 100                                        ""","="""""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""4""","="" 9.5039798""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""5""","="" 9.5039801""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""3""","="" 9.5039832""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""2""","="" 9.5039853""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""1""","="" 9.5039898""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""3F""","=""4""","="" 9.5041729""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""3F""","=""3""","="" 9.5041736""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).4f""","=""3F""","=""2""","="" 9.5041771""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6s""","=""3S*""","=""1""","="" 9.512148""","=""""","="" 100                                        ""","="""""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""0""","="" 9.563586""","=""""","=""  95         :     3  3s.3p5           3P*  ""","="""""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","="" 9.565398""","=""""","=""  94         :     3  3s.3p5           3P*  ""","="""""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","="" 9.569243""","=""""","=""  95         :     3  3s.3p5           3P*  ""","="""""
"=""3s2.3p3.(4S*).6p""","=""5P""","=""1""","="" 9.6522616""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6p""","=""5P""","=""2""","="" 9.6525708""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6p""","=""5P""","=""3""","="" 9.6529691""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""1P""","=""1""","="" 9.6527781""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6p""","=""3P""","=""2""","="" 9.6571952""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6p""","=""3P""","=""0""","="" 9.6586428""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6p""","=""3P""","=""1""","="" 9.6600482""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3D""","=""2""","="" 9.6896219""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3D""","=""1""","="" 9.6896547""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3D""","=""3""","="" 9.6959586""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5d""","=""5D*""","=""0""","="" ""","=""""","=""  94         :     2  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).5d""","=""5D*""","=""1""","="" ""","=""""","=""  94         :     2  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).5d""","=""5D*""","=""4""","="" 9.704256""","=""""","=""  94         :     2  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).5d""","=""5D*""","=""3""","="" 9.704308""","=""""","=""  94         :     2  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(4S*).5d""","=""5D*""","=""2""","="" 9.704366""","=""""","=""  94         :     2  3s2.3p3.(4S*).4d 5D*  ""","="""""
"=""3s2.3p3.(2P*).4s""","=""1P*""","=""1""","="" 9.706529""","=""""","=""  76         :    16  3s2.3p3.(2D*).3d 1P*  ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3F""","=""2""","="" 9.721587""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3F""","=""3""","="" 9.724801""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3F""","=""4""","="" 9.728177""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""1F""","=""3""","="" 9.7501078""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5d""","=""3D*""","=""2""","="" 9.756486""","=""""","=""  98         :     1  3s2.3p3.(2D*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).5d""","=""3D*""","=""3""","="" 9.756540""","=""""","=""  98         :     1  3s2.3p3.(2D*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).5d""","=""3D*""","=""1""","="" 9.756630""","=""""","=""  98         :     1  3s2.3p3.(2D*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).7s""","=""5S*""","=""2""","="" 9.801948""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""5F""","=""1""","="" 9.812458""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""5F""","=""4""","="" 9.812458""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""5F""","=""2""","="" 9.812458""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""5F""","=""5""","="" 9.812458""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""5F""","=""3""","="" 9.812458""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""3F""","=""3""","="" 9.812612""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""3F""","=""4""","="" 9.812612""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).5f""","=""3F""","=""2""","="" 9.812612""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""","="" 9.817732""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3P""","=""2""","="" 9.841345""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3P""","=""1""","="" 9.845002""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).4p""","=""3P""","=""0""","="" 9.846578""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7p""","=""5P""","=""2""","="" ""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7p""","=""5P""","=""1""","="" ""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7p""","=""5P""","=""3""","="" 9.892144""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6d""","=""5D*""","=""1""","="" ""","=""""","=""  95         :     2  3s2.3p3.(4S*).5d 5D*  ""","="""""
"=""3s2.3p3.(4S*).6d""","=""5D*""","=""4""","="" 9.917763""","=""""","=""  95         :     2  3s2.3p3.(4S*).5d 5D*  ""","="""""
"=""3s2.3p3.(4S*).6d""","=""5D*""","=""3""","="" 9.917784""","=""""","=""  95         :     2  3s2.3p3.(4S*).5d 5D*  ""","="""""
"=""3s2.3p3.(4S*).6d""","=""5D*""","=""2""","="" 9.917806""","=""""","=""  95         :     2  3s2.3p3.(4S*).5d 5D*  ""","="""""
"=""3s2.3p3.(4S*).6d""","=""5D*""","=""0""","="" 10.25654""","=""""","=""  95         :     2  3s2.3p3.(4S*).5d 5D*  ""","="""""
"=""3s2.3p3.(4S*).7p""","=""3P""","=""2""","="" 9.932713""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7p""","=""3P""","=""1""","="" 9.933640""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7p""","=""3P""","=""0""","="" 9.934093""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6d""","=""3D*""","=""3""","="" 9.941321""","=""""","=""  98         :     1  3s2.3p3.(2D*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).6d""","=""3D*""","=""2""","="" 9.941528""","=""""","=""  98         :     1  3s2.3p3.(2D*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).6d""","=""3D*""","=""1""","="" 9.941747""","=""""","=""  98         :     1  3s2.3p3.(2D*).3d 3D*  ""","="""""
"=""3s2.3p3.(4S*).8s""","=""5S*""","=""2""","="" 9.974417""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""5F""","=""1""","="" 9.980023""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""5F""","=""4""","="" 9.980023""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""5F""","=""2""","="" 9.980023""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""5F""","=""5""","="" 9.980023""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""5F""","=""3""","="" 9.980023""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""3F""","=""3""","="" 9.980130""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""3F""","=""4""","="" 9.980130""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).6f""","=""3F""","=""2""","="" 9.980130""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8s""","=""3S*""","=""1""","="" 9.983389""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7d""","=""5D*""","=""4""","="" 10.042135""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7d""","=""5D*""","=""2""","="" 10.042151""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7d""","=""5D*""","=""3""","="" 10.042151""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8p""","=""3P""","=""0""","="" 10.042175""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8p""","=""3P""","=""1""","="" 10.042175""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8p""","=""3P""","=""2""","="" 10.042228""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7d""","=""3D*""","=""3""","="" 10.052675""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7d""","=""3D*""","=""2""","="" 10.052944""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7d""","=""3D*""","=""1""","="" 10.053218""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9s""","=""5S*""","=""2""","="" 10.077629""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""5F""","=""2""","="" 10.081011""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""5F""","=""5""","="" 10.081011""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""5F""","=""3""","="" 10.081011""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""5F""","=""1""","="" 10.081011""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""5F""","=""4""","="" 10.081011""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""3F""","=""3""","="" 10.081102""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""3F""","=""4""","="" 10.081102""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).7f""","=""3F""","=""2""","="" 10.081102""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9s""","=""3S*""","=""1""","="" 10.083239""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).3d""","=""1P*""","=""1""","="" 10.097062""","=""""","=""  58         :    23  3s2.3p3.(2P*).4s 1P*  ""","="""""
"=""3s2.3p3.(4S*).8d""","=""5D*""","=""4""","="" 10.120669""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8d""","=""5D*""","=""3""","="" 10.120685""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8d""","=""5D*""","=""2""","="" 10.120685""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8d""","=""3D*""","=""3""","="" 10.124928""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8d""","=""3D*""","=""2""","="" 10.125245""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8d""","=""3D*""","=""1""","="" 10.125533""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).10s""","=""5S*""","=""2""","="" 10.144288""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8f""","=""5F""","=""2""","="" 10.146551""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8f""","=""5F""","=""5""","="" 10.146551""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8f""","=""5F""","=""3""","="" 10.146551""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8f""","=""5F""","=""1""","="" 10.146551""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).8f""","=""5F""","=""4""","="" 10.146551""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).10s""","=""3S*""","=""1""","="" 10.148067""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9d""","=""5D*""","=""4""","="" 10.173367""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9d""","=""5D*""","=""3""","="" 10.173367""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9d""","=""5D*""","=""2""","="" 10.173389""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9d""","=""3D*""","=""3""","="" 10.174354""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9d""","=""3D*""","=""2""","="" 10.174565""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).9d""","=""3D*""","=""1""","="" 10.175038""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).11s""","=""3S*""","=""1""","="" 10.192514""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).10d""","=""3D*""","=""3""","="" 10.210194""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).10d""","=""3D*""","=""2""","="" 10.210390""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).10d""","=""3D*""","=""1""","="" 10.210502""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).10d""","=""5D*""","=""4""","="" 10.21048""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).11d""","=""3D*""","=""3""","="" 10.23637""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).11d""","=""3D*""","=""2""","="" 10.23658""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).11d""","=""3D*""","=""1""","="" 10.23668""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).3d""","=""1F*""","=""3""","="" 10.241642""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(4S*).12d""","=""3D*""","=""3""","="" 10.25637""","=""""","=""                                            ""","="""""
